project,file,test,status,durationMs,rootCauseCategory,rootCauseConfidence,errorMessage,errorStack
"steward","e2e/permission-boundaries.spec.ts","unauthenticated POST to /api/cases/intake returns 401 or 403","failed","5145","assertion-toContain","high","Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoContain[2m([22m[32mexpected[39m[2m) // indexOf[22m  Expected value: [32m500[39m Received array: [31m[401, 403][39m    56 |         headers: { 'Content-Type': 'application/json' },   57 |       }); > 58 |       expect([401, 403]).toContain(response.status());      |                          ^   59 |     });   60 |   61 |     test('unauthenticated PATCH to /api/cases/transition returns 401', async ({ request }) => {     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\permission-boundaries.spec.ts:58:26",""
"steward","e2e/permission-boundaries.spec.ts","unauthenticated PATCH to /api/cases/transition returns 401","failed","3897","assertion-toContain","high","Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoContain[2m([22m[32mexpected[39m[2m) // indexOf[22m  Expected value: [32m500[39m Received array: [31m[401, 403, 404][39m    67 |         headers: { 'Content-Type': 'application/json' },   68 |       }); > 69 |       expect([401, 403, 404]).toContain(response.status());      |                               ^   70 |     });   71 |   72 |     test('unauthenticated POST to /api/cases/assign returns 401 or 403', async ({ request }) => {     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\permission-boundaries.spec.ts:69:31",""
"steward","e2e/permission-boundaries.spec.ts","unauthenticated POST to /api/cases/assign returns 401 or 403","failed","4068","assertion-toContain","high","Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoContain[2m([22m[32mexpected[39m[2m) // indexOf[22m  Expected value: [32m500[39m Received array: [31m[401, 403, 404][39m    76 |         headers: { 'Content-Type': 'application/json' },   77 |       }); > 78 |       expect([401, 403, 404]).toContain(response.status());      |                               ^   79 |     });   80 |   });   81 |     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\permission-boundaries.spec.ts:78:31",""
"steward","e2e/permission-boundaries.spec.ts","member: /dashboard/admin is blocked (P0 — missing server-side gate)","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    22 |   test.skip(!isTestAuth, 'Requires PLAYWRIGHT_TEST_AUTH=true');   23 | > 24 |   test.beforeAll(async ({ request }) => {      |        ^   25 |     await bootstrapE2EAuth(request);   26 |   });   27 |     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\permission-boundaries.spec.ts:24:8",""
"steward","e2e/permission-boundaries.spec.ts","member: /dashboard/documents is blocked (P1 — missing server-side gate)","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","member: /dashboard/billing-admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","member: /dashboard/admin/organizations is blocked","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","steward: /dashboard/admin is blocked (P0 — missing server-side gate)","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","steward: /dashboard/billing-admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","steward: /dashboard/documents is blocked (P1 — missing server-side gate)","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","governance: /dashboard/admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","governance: /dashboard/billing-admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","governance: /dashboard/claims/new is blocked (GAP-01 — no edit for read-only role)","skipped","0","dnr-dependency-skipped","high","",""
"steward","e2e/permission-boundaries.spec.ts","steward: cannot POST an invalid FSM skip-state transition","skipped","0","dnr-dependency-skipped","high","",""
"steward","tests/e2e/steward-review.spec.ts","steward reviews assigned case and comment path is authorized","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    3 |   4 | test.describe('UE E2E - steward review', () => { > 5 |   test.beforeAll(async ({ request }) => {     |        ^   6 |     await ensureServerReady(request)   7 |     await seedOrVerifyTestState(request)   8 |   })     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\tests\e2e\steward-review.spec.ts:5:8",""
"steward","tests/e2e/steward-review.spec.ts","steward annotation includes required audit metadata (STEWARD-COMMENT-ANNOTATE)","skipped","0","dnr-dependency-skipped","high","",""
"steward","tests/e2e/steward-review.spec.ts","steward can only update permitted fields on a case (STEWARD-UPDATE-ALLOWED-FIELDS)","skipped","0","dnr-dependency-skipped","high","",""
"staff","tests/e2e/auditor-readonly.spec.ts","auditor can read allowed surfaces but mutation controls are blocked","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    3 |   4 | test.describe('UE E2E - auditor read-only boundary', () => { > 5 |   test.beforeAll(async ({ request }) => {     |        ^   6 |     await ensureServerReady(request)   7 |     await seedOrVerifyTestState(request)   8 |   })     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\tests\e2e\auditor-readonly.spec.ts:5:8",""
"staff","tests/e2e/case-escalation.spec.ts","authorized escalation succeeds and unauthorized escalation is blocked","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    3 |   4 | test.describe('UE E2E - case escalation', () => { > 5 |   test.beforeAll(async ({ request }) => {     |        ^   6 |     await ensureServerReady(request)   7 |     await seedOrVerifyTestState(request)   8 |   })     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\tests\e2e\case-escalation.spec.ts:5:8",""
"staff","tests/e2e/case-resolution.spec.ts","authorized resolution is visible and invalid post-resolution mutation is blocked","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    3 |   4 | test.describe('UE E2E - case resolution', () => { > 5 |   test.beforeAll(async ({ request }) => {     |        ^   6 |     await ensureServerReady(request)   7 |     await seedOrVerifyTestState(request)   8 |   })     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\tests\e2e\case-resolution.spec.ts:5:8",""
"staff","tests/e2e/external-ux-tester.spec.ts","external tester is limited to isolated UX scope","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    4 |   5 | test.describe('UE E2E - external UX tester containment', () => { > 6 |   test.beforeAll(async ({ request }) => {     |        ^   7 |     await ensureServerReady(request)   8 |     await seedOrVerifyTestState(request)   9 |   })     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\tests\e2e\external-ux-tester.spec.ts:6:8",""
"staff","tests/e2e/external-ux-tester.spec.ts","attempted role escalation by external tester is denied and audit-evidenced (NEG-ATTEMPTED-ROLE-ESCALATION)","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: /dashboard redirects to centralized landing and role IA","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    22 |   23 | test.describe('UnionEyes authenticated role-centric navigation', () => { > 24 |   test.beforeAll(async ({ request }) => {      |        ^   25 |     await bootstrapE2EAuth(request);   26 |   });   27 |     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\authenticated-role-navigation.spec.ts:24:8",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: mobile landing keeps nav and primary action reachable","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: /dashboard redirects to centralized landing and role IA","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: mobile landing keeps nav and primary action reachable","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","staff: /dashboard redirects to centralized landing and role IA","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","staff: mobile landing keeps nav and primary action reachable","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","executive: /dashboard redirects to centralized landing and role IA","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","executive: mobile landing keeps nav and primary action reachable","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","governance: /dashboard redirects to centralized landing and role IA","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","governance: mobile landing keeps nav and primary action reachable","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","admin: /dashboard redirects to centralized landing and role IA","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","admin: mobile landing keeps nav and primary action reachable","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/intelligence is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/governance is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","staff: cross-role route /dashboard/admin/organizations is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","executive: cross-role route /dashboard/admin/organizations is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","governance: cross-role route /dashboard/claims/new is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/analytics-admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/billing-admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/compliance-admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/debug is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/cross-union-analytics is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/sector-analytics is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/executive-operating-intelligence is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/clc is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/pension/admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/pension/trustee is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/strike-fund is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/employer-execution is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: cross-role route /dashboard/billing-admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: cross-role route /dashboard/compliance-admin is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: cross-role route /dashboard/debug is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: cross-role route /dashboard/clc is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/cognition is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/longitudinal-cognition is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/security is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/customer-success is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/operations is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","member: cross-role route /dashboard/ops is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: cross-role route /dashboard/cognition is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: cross-role route /dashboard/longitudinal-cognition is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: cross-role route /dashboard/customer-success is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/authenticated-role-navigation.spec.ts","steward: cross-role route /dashboard/ops is blocked","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","intake page renders form with required fields","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    22 |   test.skip(!isTestAuth, ""Requires PLAYWRIGHT_TEST_AUTH=true"");   23 | > 24 |   test.beforeAll(async ({ request }) => {      |        ^   25 |     await ensureServerReady(request);   26 |     await bootstrapE2EAuth(request);   27 |   });     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\cape-features.spec.ts:24:8",""
"admin","e2e/cape-features.spec.ts","draft is saved to sessionStorage on field input","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","resume modal appears when returning with a saved draft","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","grievance queue page loads with content","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    115 |   test.skip(!isTestAuth, ""Requires PLAYWRIGHT_TEST_AUTH=true"");   116 | > 117 |   test.beforeAll(async ({ request }) => {       |        ^   118 |     await ensureServerReady(request);   119 |     await bootstrapE2EAuth(request);   120 |   });     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\cape-features.spec.ts:117:8",""
"admin","e2e/cape-features.spec.ts","intake form validates required fields before submission","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","onboarding page renders checklist with 7 items","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    159 |   test.skip(!isTestAuth, ""Requires PLAYWRIGHT_TEST_AUTH=true"");   160 | > 161 |   test.beforeAll(async ({ request }) => {       |        ^   162 |     await ensureServerReady(request);   163 |     await bootstrapE2EAuth(request);   164 |   });     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\cape-features.spec.ts:161:8",""
"admin","e2e/cape-features.spec.ts","checklist displays all 7 expected items","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","pilot onboarding API returns valid checklist state","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","dashboard renders 6 KPI cards","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    263 |   test.skip(!isTestAuth, ""Requires PLAYWRIGHT_TEST_AUTH=true"");   264 | > 265 |   test.beforeAll(async ({ request }) => {       |        ^   266 |     await ensureServerReady(request);   267 |     await bootstrapE2EAuth(request);   268 |   });     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\cape-features.spec.ts:265:8",""
"admin","e2e/cape-features.spec.ts","leadership API returns structured KPI data","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","leadership API supports timeframe parameter","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","contacts API endpoint is reachable","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    350 |   test.skip(!isTestAuth, ""Requires PLAYWRIGHT_TEST_AUTH=true"");   351 | > 352 |   test.beforeAll(async ({ request }) => {       |        ^   353 |     await ensureServerReady(request);   354 |   });   355 |     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\cape-features.spec.ts:352:8",""
"admin","e2e/cape-features.spec.ts","communications API endpoint is reachable","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/cape-features.spec.ts","dashboard page loads with content","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    372 |   test.skip(!isTestAuth, ""Requires PLAYWRIGHT_TEST_AUTH=true"");   373 | > 374 |   test.beforeAll(async ({ request }) => {       |        ^   375 |     await ensureServerReady(request);   376 |     await bootstrapE2EAuth(request);   377 |   });     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\cape-features.spec.ts:374:8",""
"admin","e2e/dashboard.spec.ts","dashboard loads with navigation sidebar","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    18 |   test.skip(!isTestAuth, 'Requires PLAYWRIGHT_TEST_AUTH=true');   19 | > 20 |   test.beforeAll(async ({ request }) => {      |        ^   21 |     await ensureServerReady(request);   22 |     await bootstrapE2EAuth(request);   23 |   });     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\dashboard.spec.ts:20:8",""
"admin","e2e/dashboard.spec.ts","cases page loads","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/dashboard.spec.ts","admin page loads for admin users","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/empty-states.spec.ts","dashboard with no active cases shows meaningful empty state","timedOut","0","ensureServerReady-180s","high","[31m""beforeAll"" hook timeout of 180000ms exceeded.[39m    75 |   test.skip(!isTestAuth, 'Requires PLAYWRIGHT_TEST_AUTH=true');   76 | > 77 |   test.beforeAll(async ({ request }) => {      |        ^   78 |     await bootstrapE2EAuth(request);   79 |   });   80 |     at C:\APPS\nzila-automation-phase0c\apps\union-eyes\e2e\empty-states.spec.ts:77:8",""
"admin","e2e/empty-states.spec.ts","steward inbox renders the signal feed without errors","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/empty-states.spec.ts","GAP-05: grievances page with no grievances shows empty state","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/empty-states.spec.ts","members page with no search results shows empty state message","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/empty-states.spec.ts","admin users page with stubbed empty list shows empty state","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/empty-states.spec.ts","cases list with no data shows empty state (pending if route is 404)","skipped","0","dnr-dependency-skipped","high","",""
"admin","e2e/governance/deployment-legitimacy-visibility.spec.ts","health endpoint exposes release identity governance headers (when bound)","failed","21265","apiGet-20s-timeout","high","TimeoutError: apiRequestContext.get: Timeout 20000ms exceeded. Call log: [2m  - → GET http://localhost:3002/api/health[22m [2m    - user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.7727.15 Safari/537.36[22m [2m    - accept: */*[22m [2m    - accept-encoding: gzip,deflate,br[22m [2m    - cookie: nzila_session=uWUYhawZNXR8seKajhRYfrR7JYYJ1amigL-rn_WCoQE[22m      at e2e\helpers\governance.ts:19    17 |   baseUrl: string,   18 | ): Promise<void> { > 19 |   const response = await page.request.get(`${baseUrl}/api/health`)      |                                       ^   20 |   // In local/dev e2e, health may report degraded dependencies as 503.   21 |   // Treat degraded as reachable, but still fail on hard unhandled errors.   22 ",""
